rule_id,rule_name,Why it Matters,Rule Description,Disabilities Affected,Description,Impact,Tags,Issue Type,ACT Rules
landmark-banner-is-top-level,Banner landmark must not be contained in another landmark,"If the banner landmark is not the top-level landmark (and is contained within
  another landmark), it does not effectively designate the pre-defined header
  portion of the layout in the design and therefore prevents screen reader users
  from being able to easily find their way around the layout.


Note

    Landmarks are used to designate sections of the overall page design and
    layout. Headings are used to designate sections within the content.",Banner landmark must not be contained in another landmark.,"Blind, Deafblind",Ensures the banner landmark is at top level,Moderate,"cat.semantics, best-practice",failure,
p-as-heading,"Bold, italic text and font-size are not used to style <p> elements as a heading","The underlying purpose of headers is to convey the structure of the page.
  Sighted users can see structure by using different sizes of text. Screen
  reader users, though, require heading elements to be marked up explicitly.
  When heading elements are properly applied the page becomes much easier to
  navigate for screen reader users and sighted users alike.


  In the same way that sighted users can glance at a page and get a sense of its
  contents, users of screen readers can do the same by navigating through
  headings. Well written and properly ordered headings can save users,
  especially those who use screen readers, a lot of time and frustration.


  The purpose of headings is to describe the structure of the webpage, not just
  highlight important text. They should be brief, clear, unique, and marked with
  h1 through h6 elements in hierarchical order. All of
  these qualities make headings are a valuable tool for users of screen readers.
  In the same way that sighted users can glance at a page and get a sense of its
  contents, users of screen readers can do the same by navigating through
  headings. Well written and properly ordered headings can save users,
  especially those who use screen readers, a lot of time and frustration.


  In addition to making the page more accessible, headings have other benefits,
  since search engines use headings when filtering, ordering, and displaying
  results. Improving the accessibility of your site can also have the effect of
  making your page more findable.","Styled p elements must not be used to represent headings because
  the structure of the document cannot otherwise be determined by screen reader
  users.","Blind, Deafblind, Mobility","Ensure bold, italic text and font-size is not used to style <p> elements as a heading",Serious,"cat.semantics, wcag2a, wcag131, EN-301-549, EN-9.1.3.1, experimental","failure, needs review",
button-name,Buttons must have discernible text,"Screen reader users are not able to discern the purpose of elements with
  role=""link"", role=""button"", or
  role=""menuitem"" that do not have an accessible name.","Buttons must have discernible text that clearly describes the destination,
  purpose, function, or action for screen reader users.


  The input-button-name rule separates functionality from the
  button-name rule to ensure that input buttons have discernible
  text; advise relevant to input button names was incorrect for button elements.","Blind, Deafblind",Ensures buttons have discernible text,Critical,"cat.name-role-value, wcag2a, wcag412, section508, section508.22.a, TTv5, TT6.a, EN-301-549, EN-9.4.1.2, ACT","failure, needs review","97a4e1, m6b1q3"
aria-required-parent,Certain ARIA roles must be contained by particular parent elements,"For each role, WAI-ARIA explicitly defines which child and parent roles are
  allowable and/or required. Elements containing ARIA role values
  missing required parent element role values will not enable
  assistive technology to function as intended by the developer.


  When it is necessary to convey context to the user of assistive technology in
  the form of hierarchy (for example, the importance of a parent container, item
  or sibling in a folder tree), and the hierarchy is not the same as the code
  structure or DOM tree, there is no way to provide the relationship information
  without the use of ARIA role parent elements.","Certain ARIA roles must be contained by particular parent roles
  in order to perform the intended accessibility functions.","Blind, Deafblind, Mobility",Ensures elements with an ARIA role that require parent roles are contained by them,Critical,"cat.aria, wcag2a, wcag131, EN-301-549, EN-9.1.3.1",failure,ff89c9
aria-required-children,Certain ARIA roles must contain particular children,"For each role, WAI-ARIA explicitly defines which child and parent roles are
  allowable and/or required. ARIA roles missing required child
  roles will not be able to perform the accessibility functions
  intended by the developer.


  Assistive technology needs to convey the context to the user. For example, in
  a treeitem, it is important to know the parent (container), item,
  or siblings in the folder. This can be done in two ways:



Code order or DOM: The necessary context is often clear
    from the code order or DOM.
  

ARIA: ARIA (such as aria-owns) can be used
    provide the relationships when the hierarchy is not the same as the code
    structure or DOM tree.","Some ARIA parent role values applied to elements must contain
  specific child elements and role values to perform intended
  accessibility function.","Blind, Deafblind, Mobility",Ensures elements with an ARIA role that require child roles contain them,Critical,"cat.aria, wcag2a, wcag131, EN-301-549, EN-9.1.3.1","failure, needs review","bc4a75, ff89c9"
checkboxgroup,Checkbox inputs with the same name attribute value must be part of a group,"It is often easy for sighted users to understand the purpose of a group of
  checkboxes based on context. This is not, however, always the case for screen
  reader users. Grouping checkboxes together programmatically under a clear,
  descriptive name eliminates the ambiguity screen reader users experience to
  create a more accessible product.


  One limitation of the label tag is that it can be associated with
  only one form element. If circumstances require a more complex labeling
  structure, the label tag is insufficient. This is where
  aria-label and aria-labelledby come in. Grouping
  related form input elements such as checkboxes by placing a box around them
  visually does not group them programmatically so that screen readers can read
  a group label when screen reader users arrive at the group.","All checkbox groups must have either a proper
  aria-labelledby value for all group members, or a proper
  containing fieldset or ARIA group to associate them
  programmatically for screen reader users.","Blind, Deafblind, Mobility",,,,,
landmark-complementary-is-top-level,Complementary landmarks and/or asides are top level,"Complementary content is ancillary content to the main theme of a document or
  page. Screen reader users have the option to skip over complementary content
  when it appears at the top level of the accessibility API. Embedding an
  <aside> element in another landmark may disable screen
  reader functionality allowing users to navigate through complementary content.",Ensures the complementary landmark or aside is at top level,"Sighted Keyboard Users, Blind, Deafblind, Mobility",Ensures the complementary landmark or aside is at top level,Moderate,"cat.semantics, best-practice",failure,
landmark-contentinfo-is-top-level,Contentinfo landmark must not be contained in another landmark,"The purpose of the contentinfo landmark can be defeated when
  placed within another landmark, as it can prevent blind screen reader users
  from being able to quickly find and navigate to the appropriate landmark.


  When screen reader users have to sort through too much extra information to
  find what they're looking for, such as not being able to quickly figure out
  which landmark contains the content information they're looking for negates
  the purpose of an existing contentinfo landmark.",Contentinfo landmark must be at top level.,"Sighted Keyboard Users, Blind, Deafblind",Ensures the contentinfo landmark is at top level,Moderate,"cat.semantics, best-practice",failure,
css-orientation-lock,CSS Media queries are not used to lock display orientation,"Assistive technology users may be unable to access orientation features with
  their devices or assistive technologies.","The screen orientation (e.g. portrait or landscape) of mobile applications
  should not be locked in one mode. Users should be able to change the
  orientation of their device between portrait and landscape with the page
  adjusting accordingly in order to remain understandable. Also, when opening a
  page, it should display in the user’s current orientation.","Attention Deficit, Dyslexia, Sighted Keyboard Users, Low Vision, Mobility, Cognitive","Ensures content is not locked to any specific display orientation, and the content is operable in all display orientations",Serious,"cat.structure, wcag134, wcag21aa, EN-301-549, EN-9.1.3.4, experimental","failure, needs review",b33eff
table-fake-caption,Data or header cells should not be used to give caption to a data table,"Screen readers have a specific way of announcing tables. When tables are not
  properly marked up, this creates the opportunity for confusing or inaccurate
  screen reader output.


  When tables are not marked up with an actual caption element instead of using
  a colspan element on cells to visually indicate a caption, screen
  reader users cannot correctly perceive the purpose of the table visually.","Data table markup can be tedious and confusing. Screen readers have some
  features to ease table navigation, but tables must be marked up accurately for
  these features to work correctly. Some tables use cells with a
  colspan element to visually indicate a caption, instead of using
  an actual caption element.","Blind, Deafblind",Ensure that tables with a caption use the <caption> element.,Serious,"cat.tables, experimental, wcag2a, wcag131, section508, section508.22.g, EN-301-549, EN-9.1.3.1",failure,
document-title,Documents must contain a title element to aid in navigation,"Screen reader users use page titles to get an overview of the contents of the
  page. Navigating through pages can quickly become difficult and confusing for
  screen reader users if the pages are not marked with a title. The page
  title element is the first thing screen reader users hear when
  first loading a web page.


  The title is the first thing that screen reader users hear when
  they arrive at a page. If there is no title or if the
  title is not descriptive and unique, screen reader users must
  read through the page to determine its contents and purpose.","The HTML document must have a title element to provide users with
  an overview of its content, and when present, it must not be empty.","Blind, Deafblind, Mobility",Ensures each HTML document contains a non-empty <title> element,Serious,"cat.text-alternatives, wcag2a, wcag242, TTv5, TT12.a, EN-301-549, EN-9.2.4.2, ACT",failure,2779a5
role-img-alt,"Elements containing role=""img"" have an alternative text","Screen readers have no way of translating an image into words that gets read
  to the user, even if the image only consists of text. As a result, it's
  necessary for images to have short, descriptive and accessible alternative
  text so screen reader users clearly understand the image's contents and
  purpose.


  If you can't see, all types of visual information, including images, are
  completely useless unless an accessible text alternative is provided which
  screen readers can convert into either sound or braille. People with low
  vision or color-blindness disabilities also require accessible alternative
  text to varying degrees.


  Screen readers cannot convert visual image information to speech or braille in
  the absence of an accessible text alternative associated with the image.","Ensures elements marked role=""img"" elements have alternate text.","Blind, Deafblind",Ensures [role='img'] elements have alternate text,Serious,"cat.text-alternatives, wcag2a, wcag111, section508, section508.22.a, TTv5, TT7.a, EN-301-549, EN-9.1.1.1, ACT","failure, needs review",23a2a8
focus-order-semantics,Elements in the focus order need a role appropriate for interactive content,"Elements in the focus order need a role appropriate for interactive content so
  that screen reader technology can communicate that information to users.


  If interactive content elements do not have appropriate roles, the role will
  not be able to perform the accessibility function intended by the developer.


  When screen readers and other assistive technologies do not know the
  appropriate role of each element on the web page, they are not able to
  interact with it intelligently, nor are they able to communicate the role to
  the user. When the value for a role is not valid, there is no way the HTML
  element's set of features, properties, and methods of conveying information to
  and/or from the user can be communicated via assistive technologies.","User input elements must have appropriate roles, whether native HTML or a
  custom widget, to convey to screen reader users their meaning when landed on
  and given focus. If a custom widget, appropriate ARIA role values
  must be used instead of abstract roles to correctly expose the purpose of the
  element.","Blind, Deafblind, Mobility",Ensures elements in the focus order have a role appropriate for interactive content,Minor,"cat.keyboard, best-practice, experimental",failure,
aria-allowed-attr,Elements must only use allowed ARIA attributes,"Using ARIA attributes in roles where they are not allowed can interfere with
  the accessibility of the web page. Using an invalid role-attribute combination
  will, at best, result in no effect on the accessibility of the application
  and, at worst, may trigger behavior that disables accessibility for entire
  portions of an application.


  When ARIA attributes are used on HTML elements that are not in accordance with
  WAI-ARIA 1.1, they conflict with the semantics of the elements which can cause
  assistive technology products report nonsensical user interface (UI)
  information that does not represent the actual UI of the document.","Not all ARIA role-attribute combinations are valid. This Rule checks that each
  role is supplied with allowed attributes.","Blind, Deafblind, Mobility",Ensures an element's role supports its ARIA attributes,Critical,"cat.aria, wcag2a, wcag412, EN-301-549, EN-9.4.1.2","failure, needs review",5c01ea
tabindex,Elements should not have tabindex greater than zero,"Using tabindex with a value greater than 0 can create as many
  problems as it solves. It creates an unexpected tab order, which makes the
  page less intuitive and can give the appearance of skipping certain elements
  entirely.


  Here are some of the problems that tabindex (with a value of 1 or
  greater) causes:



Unexpected tab order: From the perspective of the user,
    tabindex changes the default tab order in unexpected ways,
    possibly causing disorientation.
  

Items can appear to be skipped entirely: Items appear in
    the tab order only once. If a user tabs past the tabindex items
    and continues through the rest of the web page, at some point the user
    arrives at the location of the tabindex items, but the tabbing
    process skips over these links, because the user already tabbed through them
    at the beginning of the cycle. Incorrect tab orders are frustrating when
    users are unable access items, and may not know that (s)he needs to cycle
    through the entire set of links on the page to reaccess those links.
  

All tabindex items are tabbed to before any non-tabindex
      items.
    If you want to change the tab order of the first items AND of a section
    later in the page, you would need to set the tabindex value for
    every single item through to the end of the modified section. Taken to a bit
    of an extreme, if you have 20 links on a page, and if you set the
    tabindex of one of those links to tabindex=""100"",
    the user tabs to that link first, even though there are fewer than 100 links
    on the page. There is no way to modify the tab order of sections later in
    the page unless you manually set the tab order of all the links before that
    section.","A tabindex attribute must never have a value greater than 0 to
  prevent an unexpected tab order that can give the appearance of skipping some
  elements entirely.","Blind, Deafblind, Mobility",Ensures tabindex attribute values are not greater than 0,Serious,"cat.keyboard, best-practice",failure,
presentation-role-conflict,Elements whose role is none or presentation must not conflict with other roles,"There are certain cases where the semantic role of an element with
  role=""none"" or role=""presentation"" does not resolve
  to none or presentation (respectively). When this happens, the element is not
  removed from the accessibility tree (as expected) and screen readers are able
  to interact with it.


  To ensure the element remains removed from the accessibility tree, you should
  not add any global ARIA attributes to the element or make if focusable.","Ensures elements which are marked to be removed from the accessibility tree
  are in fact removed.","Blind, Low Vision, Mobility",Elements marked as presentational should not have global ARIA or tabindex to ensure all screen readers ignore them,Minor,"cat.aria, best-practice, ACT",failure,46ca7f
identical-links-same-purpose,Ensure that links with the same accessible name serve a similar purpose,"This rule is important because the intention is to to help users understand
  the purpose of each link in the content, so they can decide whether they want
  to follow it. Best practice is that links with the same destination would have
  the same descriptions, but links with different purposes and destinations
  would have different descriptions (see also
  Success Criterion 3.2.4
  which calls for consistency in identifying components that have the same
  functionality). Because the purpose of a link can be identified from its link
  text, links can be understood when they are out of context, such as when the
  user agent provides a list of all the links on a page.",Ensure that links with the same accessible name serve a similar purpose.,"Blind, Deafblind",Ensure that links with the same accessible name serve a similar purpose,Minor,"cat.semantics, wcag2aaa, wcag249",needs review,b20e66
scrollable-region-focusable,Ensure that scrollable region has keyboard access,"Checks scrollable content for focusable elements enabling keyboard navigation.
  Keyboard navigation should not fail when focus moves to an element within a
  scrollable region.",Elements that have scrollable content should be accessible by keyboard,"Blind, Deafblind, Mobility",Ensure elements that have scrollable content are accessible by keyboard,Serious,"cat.keyboard, wcag2a, wcag211, TTv5, TT4.a, EN-301-549, EN-9.2.1.1",failure,0ssw9k
frame-focusable-content,Ensures  <frame> and <iframe> elements with focusable content do not have tabindex=-1,"When a frame has a negative tabindex, the browser is prevented from
  redirecting the focus to the content inside that frame. This causes all its
  content from getting skipped in keyboard navigation, and if the frame is
  scrollable also prevents the focus from reaching any element from which the
  frame can be scrolled with the keyboard.","%lt;frame%gt; and %lt;iframe%gt; elements with
  focusable content must not have tabindex=""-1"".","Blind, Mobility",Ensures <frame> and <iframe> elements with focusable content do not have tabindex=-1,Serious,"cat.keyboard, wcag2a, wcag211, TTv5, TT4.a, EN-301-549, EN-9.2.1.1","failure, needs review",akn7bn
aria-text,"Ensures role=""text"" is used on elements with no focusable descendants","When a text node is split by markup (e.g.
  <h1>Hello <span>World</span></h1>)
  VoiceOver will treat it as two separate phrases instead of just one. Adding
  role=""text"" around the elements solves the problem. However, it
  also overrides the role of the element and all descendants and treats them all
  as text nodes. If one of the descendant elements is also focusable it would
  create an empty tab stop. That is, you could tab to the element but VoiceOver
  would not announce its name, role, or value.","Elements with role=""text"" must not have focusable descendants.","Blind, Mobility","Ensures ""role=text"" is used on elements with no focusable descendants",Serious,"cat.aria, best-practice","failure, needs review",
empty-table-header,Ensures table headers have discernible text,"Table header elements should have visible text that describes the purpose of
  the row or column to both sighted users and screen reader users.","Table header elements should have visible text. Ensure that the table header
  can be used by screen reader users. If the element is not a header, marking it
  up with a `td` is more appropriate.","Blind, Low Vision",Ensures table headers have discernible text,Minor,"cat.name-role-value, best-practice","failure, needs review",
landmark-no-duplicate-main,Ensures the document has at most one main landmark,"Navigating a web page is far simpler for screen reader users if all of the
  content splits between one or more high-level sections. Content outside of
  these sections is difficult to find, and its purpose may be unclear.


  HTML has historically lacked some key semantic markers, such as the ability to
  designate sections of the page as the header, navigation, main content, and
  footer. Using both HTML5 elements and ARIA landmarks in the same element is
  considered a best practice, but the future will favor HTML regions as browser
  support increases.","It is a best practice to ensure that there is only one main landmark to
  navigate to the primary content of the page and that if the page contains
  iframe elements, each should either contain no landmarks, or just
  a single landmark.","Blind, Deafblind, Mobility",Ensures the document has at most one main landmark,Moderate,"cat.semantics, best-practice",failure,
label,Form <input> elements must have labels,"Effective form labels are required to make forms accessible. The purpose of
  form elements such as checkboxes, radio buttons, input fields, etcetera, is
  often apparent to sighted users, even if the form element is not
  programmatically labeled. Screen readers users require useful form labels to
  identify form fields. Adding a label to all form elements eliminates ambiguity
  and contributes to a more accessible product.


  When labels for form elements are absent, screen reader users do not know the
  input data expectations. Screen readers cannot programmatically determine
  information about input objects without an established label relationship (or
  redundant text serving as a label).


  The absence of labels prevent fields from receiving focus when read by screen
  readers, and users with impaired motor control do not get the benefit of a
  larger clickable area for the control since clicking the label activates the
  control.",Each form element must have a programmatically associated label element.,"Blind, Low Vision, Deafblind, Mobility",Ensures form field does not have multiple label elements,Moderate,"cat.forms, wcag2a, wcag332, TTv5, TT5.c, EN-301-549, EN-9.3.3.2",needs review,
label-title-only,Form <input> elements should have a visible label,"The title and aria-describedby attributes are used
  to provide additional information such as a hint. Hints are exposed to
  accessibility APIs differently than labels and as such, this can cause
  problems with assistive technologies.


  When form inputs such as text entry fields, radio buttons, check boxes, and
  select menus contain no labels other than title and
  aria-describedby attribute values, screen readers interpret the
  content as advisory information only. Labels created by the
  title and aria-describedby values are not sufficient
  to create a true label that can be determined programmatically from the code
  to convey the purpose of the input form element.","Form <input> elements may be given a title using the
  title or aria-describedby attributes (but not both).
  These attributes are used to provide additional information such as a hint.","Blind, Deafblind, Mobility","Ensures that every form element has a visible label and is not solely labeled using hidden labels, or the title or aria-describedby attributes",Serious,"cat.forms, best-practice",failure,
form-field-multiple-labels,Form fields do not have duplicate labels,"Assigning multiple labels to the same form field can cause problems for some
  combinations of screen readers and browsers, and the results are inconsistent
  from one combination to the next. Some combinations will read the first label.
  Some will read the last label. Others will read both labels.",Ensures form field does not have multiple labels.,"Blind, Low Vision, Deafblind, Mobility",Ensures form field does not have multiple label elements,Moderate,"cat.forms, wcag2a, wcag332, TTv5, TT5.c, EN-301-549, EN-9.3.3.2",needs review,
frame-tested,Frames must be tested with axe-core,"Without the axe-core script, it is not possible for the tool to perform
  violation checking on multiple levels of nested iframes.",Frames must be tested with axe-core.,"Sighted Keyboard Users, Blind, Deafblind",Ensures <iframe> and <frame> elements contain the axe-core script,Critical,"cat.structure, best-practice, review-item","failure, needs review",
frame-title-unique,Frames must have a unique title attribute,"Screen reader users rely on a frame title to describe the contents of the
  frame. Navigating through frames and iframes can quickly become
  difficult and confusing for users of this technology if the frames are not
  marked with a title attribute.


  Screen reader users have the option to pull up a list of titles for all frames
  on a page. Adding descriptive, unique titles allows users to quickly find the
  frame they need. If no titles are present, navigating through frames can
  quickly become difficult and confusing. If no title is listed, screen readers
  will instead give information like “frame,” “javascript,” the filename, or the
  URL. In most cases, this information won’t be very helpful.","All frame or iframe elements in the document must
  have a unique title to describe their contents to screen reader users.","Blind, Deafblind, Mobility",Ensures <iframe> and <frame> elements contain a unique title attribute,Serious,"cat.text-alternatives, wcag2a, wcag412, TTv5, TT12.d, EN-301-549, EN-9.4.1.2",needs review,4b1c6c
frame-title,Frames must have title attribute,"Screen reader users rely on a frame title to describe the contents of the
  frame. Navigating through frame and
  iframe elements quickly becomes difficult and confusing for users
  of this technology if the markup does not contain a
  title attribute.


  Screen reader users have the option to pull up a list of titles for all frames
  on a page. Adding descriptive, unique titles allows users to quickly find the
  frame they need. If no titles are present, navigating through frames can
  quickly become difficult and confusing. If no title is listed, screen readers
  will instead give information like “frame,” “JavaScript,” the filename, or the
  URL. In most cases, this information won’t be very helpful.","All frame or iframe elements in the document must
  have a title that is not empty to describe their contents to screen reader
  users.","Blind, Deafblind, Mobility",Ensures <iframe> and <frame> elements contain a unique title attribute,Serious,"cat.text-alternatives, wcag2a, wcag412, TTv5, TT12.d, EN-301-549, EN-9.4.1.2",needs review,4b1c6c
heading-order,Heading levels should only increase by one,"The underlying purpose of headers is to convey the structure of the page. For
  sighted users, the same purpose is achieved using different sizes of text.
  Text size, however, is not helpful for users of screen readers, because a
  screen reader identifies a header only if it is properly marked-up. When
  heading elements are applied correctly, the page becomes much easier to
  navigate for screen reader users and sighted users alike.


  In the same way that sighted users can glance at a page and get a sense of its
  contents, users of screen readers can do the same by navigating through
  headings. Well written and properly ordered headings can save users,
  especially those who use screen readers, a lot of time and frustration.


  The purpose of headings is to describe the structure of the webpage, not just
  highlight important text. They should be brief, clear, unique, and marked with
  h1 through h6 elements applied in hierarchical
  order. All of these qualities make headings valuable tools for screen reader
  users. Similar to the way sighted users can glance at a page and get a sense
  of its contents, screen reader users can navigate through headings. Well
  written and properly ordered headings can save screen reader time and
  frustration.


  In addition to making the page more accessible, headings have other benefits
  since search engines use headings when filtering, ordering, and displaying
  results. Improving the accessibility of your site can also have the effect of
  making your page more findable.","Headings must be in a valid logical order, meaning h1 through
  h6 element tags must appear in a sequentially-descending order.","Blind, Deafblind, Mobility",Ensures the order of headings is semantically correct,Moderate,"cat.semantics, best-practice","failure, needs review",
empty-heading,Headings must not be empty,"Screen readers alert users to the presence of a heading tag. If the heading is
  empty or the text cannot be accessed, this could either confuse users or even
  prevent them from accessing information on the page's structure.


  If the text inside a heading cannot be accessed by a screen reader, users of
  this technology will not be able to hear the contents of the heading. Since
  headings relay the structure of a webpage, it's crucial that users of screen
  readers are able to access the contents.


  Applying heading markup (<h1> through
  ><h6>) is a quick way to make text stand out, however,
  using it for anything other than headings will make navigating a web page more
  confusing for users of assistive technology.


  In addition to making the page more accessible, headings have other benefits,
  since search engines use headings when filtering, ordering, and displaying
  results. Improving the accessibility of your site can also have the effect of
  making your page more findable.


  In the same way that sighted users can glance at a page and get a sense of its
  contents, users of screen readers can do the same by navigating through
  headings. Well written and properly ordered headings can save users,
  especially those who use screen readers, a lot of time and frustration.","When at least one heading element (marked by <h1> through
  <h6>) is present, it is a best practice to ensure it
  contains content.","Blind, Deafblind, Mobility",Ensures headings have discernible text,Minor,"cat.name-role-value, best-practice","failure, needs review",ffd0e9
hidden-content,Hidden content on the page cannot be analyzed,"Hidden content cannot be automatically analyzed for accessibility rule
  violations.


  Visually hidden content must be accessible by both sighted and screen reader
  users. If there is a compelling reason to hide content from sighted users,
  there is usually a compelling reason also to hide that content from blind
  users. When the content is made available to sighted users, it makes sense to
  make it available to blind users as well.


  Content will be hidden from screen reader users (and all sighted users too)
  when the CSS properties display: none or
  visibility: hidden are used. Changing CSS properties to
  display: block, display: inline, or using other
  display values makes the items available to screen reader users.","Informs users about hidden content that cannot be analyzed for accessibility
  violations.","Sighted Keyboard Users, Blind, Colorblindness",Informs users about hidden content.,Minor,"cat.structure, best-practice, experimental, review-item","failure, needs review",
duplicate-id-active,ID attribute value must be unique,"The ID attribute uniquely identifies focusable elements on a page. It does not
  make sense to duplicate an active ID.


  Duplicate active ID values break the accessibility of focusable elements
  including labels for forms, table header cells, etc., Screen readers and
  client-side scripts will skip any duplication other than the first instance.
  Validating HTML files help prevent and eliminate possible sources of
  accessibility problems, when not breaking accessibility.


  Those experienced with client-side scripting know that when you re-use an
  active ID, typically the only one that gets acted upon by the scripting is the
  first instance of the use of that active ID. Similarly, assistive technologies
  may, when referencing an active ID, only reference the first one accurately.","The value assigned to active ID attributes on focusable elements must be
  unique to prevent the second instance from being overlooked by assistive
  technology. Put another way, active ID attributes may not be used more than
  once on focusable elements in the same document; focusable active elements
  require unique IDs for assistive technology to distinguish one element from
  another.","Blind, Deafblind",Ensures every id attribute value of active elements is unique,Serious,"cat.parsing, wcag2a-obsolete, wcag411, deprecated",failure,3ea0c8
duplicate-id,ID attribute values must be unique,"The ID attribute uniquely identifies elements on a page. It does not make
  sense to duplicate an ID.


  Duplicate ID's can break the accessibility of labels for forms, table header
  cells, etc., by the second instance being skipped by screen readers, or by
  client-side scripts. They are common markup validation errors that can
  eliminate possible sources of accessibility problems, when not breaking
  accessibility.


  Those experienced with client-side scripting know that when you re-use an id,
  typically the only one that gets acted upon by the scripting is the first
  instance of the use of that ID. Similarly, assistive technologies may, when
  referencing an id, only reference the first one accurately.","The value assigned to an ID attribute must be unique to prevent the second
  instance from being overlooked by assistive technology. Put another way; ID
  attributes may not be used more than once in the same document to
  differentiate each element from another.","Blind, Deafblind",Ensures every id attribute value used in ARIA and in labels is unique,Critical,"cat.parsing, wcag2a, wcag412, EN-301-549, EN-9.4.1.2",needs review,3ea0c8
duplicate-id-aria,IDs used in ARIA and labels must be unique,"Duplicate IDs are common validation errors that may break the accessibility of
  labels, e.g., ARIA elements, form fields, table header cells.


  Unique ID's differentiate each element from another and prevent invalid
  markup, wherein only the first instance gets acted upon by client-side
  scripting, or where assistive technologies typically only reference the first
  one accurately.","The value assigned to an id attribute used in ARIA or in form
  labels must be unique to prevent the second instance from being overlooked by
  assistive technology. Put another way; ID values used in ARIA and in labels
  may not be used more than once in the same document to differentiate each
  element from another.","Blind, Deafblind",Ensures every id attribute value used in ARIA and in labels is unique,Critical,"cat.parsing, wcag2a, wcag412, EN-301-549, EN-9.4.1.2",needs review,3ea0c8
input-image-alt,Image buttons must have alternate text,"An <input type=""image""> button must have
  alternate text, otherwise screen reader users will not know the button's
  purpose. Even if the image contains only text, it still requires alternate
  text, since a screen reader cannot translate images of words into output.


Text Alone Is Not A Label: Just typing text next to the form
  element is not sufficient to create a true label. Assistive technologies like
  screen readers require labels in code that can be determined programmatically.
  Some screen readers are programmed to guess what the label should be, based on
  the surrounding text, but this method is not fool-proof and can lead to
  confusion if the screen reader guesses wrong.","Ensures <input type=""image""> elements have alternate text.","Blind, Deafblind, Mobility","Ensures <input type=""image""> elements have alternate text",Critical,"cat.text-alternatives, wcag2a, wcag111, wcag412, section508, section508.22.a, TTv5, TT7.a, EN-301-549, EN-9.1.1.1, EN-9.4.1.2, ACT","failure, needs review",59796f
image-alt,Images must have alternate text,"Screen readers have no way of translating an image into words that gets read
  to the user, even if the image only consists of text. As a result, it's
  necessary for images to have short, descriptive alt text so
  screen reader users clearly understand the image's contents and purpose.


  If you can't see, all types of visual information, such as images, are
  completely useless unless a digital text alternative is provided so that
  screen readers can convert that text into either sound or braille. The same is
  true in varying degrees for people with low vision or color-blindness.


  When you do not provide an acceptable alternative that works for their
  available sensory modalities, such as making an image accessible by providing
  a digital text description, screen readers cannot convert it into speech or
  braille to make it available by sound or touch.","All images must have alternate text to convey their purpose and meaning to
  screen reader users.","Blind, Deafblind",Ensures <img> elements have alternate text or a role of none or presentation,Critical,"cat.text-alternatives, wcag2a, wcag111, section508, section508.22.a, TTv5, TT7.a, TT7.b, EN-301-549, EN-9.1.1.1, ACT","failure, needs review",23a2a8
avoid-inline-spacing,Inline text spacing must be adjustable with custom stylesheets,"Many people with cognitive disabilities have trouble tracking lines of text
  when a block of text is single spaced. Providing spacing between 1.5 to 2
  allows them to start a new line more easily once they have finished the
  previous one.","Ensure that text spacing set through style attributes can be adjusted with
  custom stylesheets.","Attention Deficit, Blind, Low Vision, Deafblind, Mobility, Cognitive",Ensure that text spacing set through style attributes can be adjusted with custom stylesheets,Serious,"cat.structure, wcag21aa, wcag1412, EN-301-549, EN-9.1.4.12, ACT",failure,"24afc2, 9e45ec, 78fd32"
input-button-name,Input buttons must have discernible text,"Screen reader users are not able to discern the purpose of an
  input type=""button"" without an accessible name.


  Screen reader users cannot understand the purpose of an image without a
  discernable and accessible textual name. A title for an image may provide only
  advisory information about the image itself. Unnamed actionable graphic images
  such as buttons have no clear description of the destination, purpose,
  function or action for the non-text content when it is intended to be used as
  a control.","Ensures input buttons have discernible text.

  The input-button-name rule separates functionality from the
  button-name rule to ensure that input buttons have discernible
  text; advise relevant to input button names was incorrect for button elements.","Blind, Deafblind",Ensures input buttons have discernible text,Critical,"cat.name-role-value, wcag2a, wcag412, section508, section508.22.a, TTv5, TT5.c, EN-301-549, EN-9.4.1.2, ACT","failure, needs review",97a4e1
label-content-name-mismatch,Label and name from content mismatch,"This rule applies to any element that has:


a semantic role that is a widget that supports name from content, and

visible text content, and

an aria-label or aria-labelledby attribute.



Note: widget roles that supports name from content are:
  button, checkbox, gridcell, link, menuitem, menuitemcheckbox, menuitemradio,
  option, radio, searchbox, switch, tab, treeitem.

Expectation

  The complete visible text content of the target element either matches or is
  contained within its accessible name.


Note: Leading and trailing whitespace and difference in case
  sensitivity should be ignored.


  Speech input users can interact with a webpage by speaking the visible text
  labels of menus, links, and buttons that appear on the screen. It is confusing
  to speech input users when they say a visible text label they see, but the
  speech command does not work because the component's accessible (programmatic)
  name does not match the visible label. When a user interface component has a
  visible text label — whether it be real text or an image of text —
  that text must also be found in the component's accessible (programmatic)
  name. When the visible label and accessible (programmatic) name for
  interactive components are in sync, speech input users can effectively
  interact with those components.","Interactive elements labeled through their content must have their visible
  label as part of their accessible name","Blind, Low Vision, Deafblind, Mobility",Ensures that elements labelled through their content must have their visible text as part of their accessible name,Serious,"cat.semantics, wcag21a, wcag253, EN-301-549, EN-9.2.5.3, experimental",failure,2ee8b8
